Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Bollinger RSI,127812.22,27812.22,27.81,2,1,0,50.0,9.18,10.0,0.533,HINDZINC
Squeeze Breakout,87343.1,-12656.9,-12.66,2,0,2,0.0,12.66,151.0,-5.157,HINDZINC
Keltner Tuned (ATR 2.0 + EMA),71709.6,-28290.4,-28.29,2,0,2,0.0,30.4,82.0,-1.46,JINDRILL
Keltner + EMA Cross (NEW),77257.41,-22742.59,-22.74,3,1,2,33.33,30.59,207.0,-2.168,JINDRILL
Keltner Breakout (ATR 1.5),73598.43,-26401.57,-26.4,4,0,4,0.0,28.98,81.0,-1.472,JINDRILL
Bollinger RSI,110131.06,10131.06,10.13,1,1,0,100.0,23.36,70.0,-0.409,JINDRILL
Squeeze Breakout,79521.18,-20478.82,-20.48,3,0,3,0.0,27.23,91.0,-2.179,JINDRILL
Keltner Tuned (ATR 2.0 + EMA),98347.74,-1652.26,-1.65,3,0,2,0.0,9.91,191.0,-3.632,JSWINFRA
Keltner + EMA Cross (NEW),90748.35,-9251.65,-9.25,2,0,2,0.0,16.01,191.0,-7.462,JSWINFRA
Keltner Breakout (ATR 1.5),100999.73,999.73,1.0,4,0,3,0.0,11.49,182.0,-2.327,JSWINFRA
Bollinger RSI,112324.89,12324.89,12.32,1,1,0,100.0,18.11,112.0,-0.087,JSWINFRA
Squeeze Breakout,95373.13,-4626.87,-4.63,6,0,5,0.0,16.42,191.0,-3.161,JSWINFRA
Keltner Tuned (ATR 2.0 + EMA),97078.91,-2921.09,-2.92,3,0,2,0.0,16.8,177.0,-7.585,KDDL
Keltner + EMA Cross (NEW),90796.11,-9203.89,-9.2,4,0,3,0.0,22.18,182.0,-9.664,KDDL
Keltner Breakout (ATR 1.5),97640.96,-2359.04,-2.36,4,0,3,0.0,18.09,97.0,-5.736,KDDL
Bollinger RSI,123505.0,23505.0,23.51,1,1,0,100.0,20.3,64.0,1.662,KDDL
Squeeze Breakout,64801.48,-35198.52,-35.2,6,1,5,16.67,40.69,206.0,-1.48,KDDL
Keltner Tuned (ATR 2.0 + EMA),147334.56,47334.56,47.33,3,0,2,0.0,28.9,137.0,0.584,KERNEX
Keltner + EMA Cross (NEW),173623.1,73623.1,73.62,2,0,1,0.0,17.29,65.0,0.75,KERNEX
Keltner Breakout (ATR 1.5),127292.32,27292.32,27.29,5,0,4,0.0,38.57,154.0,0.354,KERNEX
Bollinger RSI,170675.79,70675.79,70.68,1,1,0,100.0,2.85,3.0,0.816,KERNEX
Squeeze Breakout,106439.58,6439.58,6.44,3,2,1,66.67,11.72,75.0,-1.906,KERNEX
Keltner Tuned (ATR 2.0 + EMA),90886.41,-9113.59,-9.11,3,1,1,33.33,15.81,84.0,-2.426,KIMS
Keltner + EMA Cross (NEW),96909.63,-3090.37,-3.09,1,0,1,0.0,14.31,84.0,-5.207,KIMS
Keltner Breakout (ATR 1.5),110455.36,10455.36,10.46,3,2,0,66.67,10.94,44.0,-0.243,KIMS
Bollinger RSI,112364.67,12364.67,12.36,1,1,0,100.0,19.88,80.0,0.061,KIMS
Squeeze Breakout,98763.23,-1236.77,-1.24,5,2,2,40.0,9.55,97.0,-1.286,KIMS
Keltner Tuned (ATR 2.0 + EMA),94112.7,-5887.3,-5.89,2,1,1,50.0,10.23,46.0,-3.208,KIRLOSBROS
Keltner + EMA Cross (NEW),86202.45,-13797.55,-13.8,2,0,2,0.0,14.64,196.0,-3.826,KIRLOSBROS
Keltner Breakout (ATR 1.5),94772.44,-5227.56,-5.23,2,1,1,50.0,10.32,46.0,-3.487,KIRLOSBROS
Bollinger RSI,104220.44,4220.44,4.22,1,1,0,100.0,25.17,149.0,-0.249,KIRLOSBROS
Squeeze Breakout,93969.32,-6030.68,-6.03,6,2,4,33.33,27.89,141.0,-1.086,KIRLOSBROS
Keltner Tuned (ATR 2.0 + EMA),79927.37,-20072.63,-20.07,7,2,4,28.57,25.07,153.0,-3.023,KIRLOSENG
Keltner + EMA Cross (NEW),169507.44,69507.44,69.51,2,1,0,50.0,14.28,83.0,2.293,KIRLOSENG
Keltner Breakout (ATR 1.5),99169.74,-830.26,-0.83,9,3,5,33.33,17.01,143.0,-0.658,KIRLOSENG
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,KIRLOSENG
Squeeze Breakout,88121.51,-11878.49,-11.88,2,0,2,0.0,12.56,212.0,-18.752,KIRLOSENG
Keltner Tuned (ATR 2.0 + EMA),126404.17,26404.17,26.4,2,1,0,50.0,15.16,16.0,0.508,KIRLPNU
Keltner + EMA Cross (NEW),97024.41,-2975.59,-2.98,1,0,1,0.0,2.98,119.0,-5.369,KIRLPNU
Keltner Breakout (ATR 1.5),121854.94,21854.94,21.85,4,1,2,25.0,15.16,56.0,0.405,KIRLPNU
Bollinger RSI,111007.63,11007.63,11.01,1,1,0,100.0,11.76,47.0,-0.039,KIRLPNU
Squeeze Breakout,104338.83,4338.83,4.34,6,2,4,33.33,16.77,162.0,-5.528,KIRLPNU
Keltner Tuned (ATR 2.0 + EMA),89440.68,-10559.32,-10.56,1,0,1,0.0,14.58,94.0,-2.231,LTFOODS
Keltner + EMA Cross (NEW),79282.94,-20717.06,-20.72,2,0,2,0.0,24.28,94.0,-1.628,LTFOODS
Keltner Breakout (ATR 1.5),89440.68,-10559.32,-10.56,1,0,1,0.0,14.58,94.0,-2.231,LTFOODS
Bollinger RSI,112722.25,12722.25,12.72,1,0,0,0.0,15.77,94.0,-0.022,LTFOODS
Squeeze Breakout,97485.67,-2514.33,-2.51,4,2,2,50.0,10.9,209.0,-2.709,LTFOODS
Keltner Tuned (ATR 2.0 + EMA),126515.43,26515.43,26.52,3,3,0,100.0,19.52,106.0,2.56,MCX
Keltner + EMA Cross (NEW),146434.51,46434.51,46.43,1,1,0,100.0,16.35,106.0,1.063,MCX
Keltner Breakout (ATR 1.5),113691.24,13691.24,13.69,4,3,1,75.0,27.68,106.0,0.053,MCX
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,MCX
Squeeze Breakout,85560.42,-14439.58,-14.44,4,1,3,25.0,28.15,106.0,-2.715,MCX
Keltner Tuned (ATR 2.0 + EMA),273613.87,173613.87,173.61,4,3,1,75.0,12.84,55.0,2.818,MTARTECH-BE
Keltner + EMA Cross (NEW),186852.27,86852.27,86.85,2,2,0,100.0,17.36,84.0,16.511,MTARTECH-BE
Keltner Breakout (ATR 1.5),250059.93,150059.93,150.06,6,3,3,50.0,23.24,50.0,2.436,MTARTECH-BE
Bollinger RSI,115220.25,15220.25,15.22,1,1,0,100.0,11.84,25.0,0.146,MTARTECH-BE
